,x,y
0,1,49.08409232825268
1,2,10.834807204837928
2,3,12.57272449350667
3,4,48.14104885575678
4,5,9.871871845963765
5,6,84.48801379826668
6,7,-7.193172524971185
7,8,57.08755852624456
8,9,30.908057831495654
9,10,-7.362021394981461
10,11,42.6843759893739
11,12,115.95008942267448
12,13,18.43647671334146
13,14,56.264381026980104
14,15,59.74195217615265
15,16,40.570829152500636
16,17,62.319738247987836
17,18,118.92823738126457
18,19,41.54812476935663
19,20,-13.785342251172736
20,21,44.54598993856657
21,22,62.7099508412104
22,23,105.307353534035
23,24,27.74680682328499
24,25,98.27457442306061
25,26,-18.864899104897574
26,27,68.2119303417102
27,28,76.6401157441514
28,29,76.82378708085469
